agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 1401,Department of the Prime Minister and Cabinet,Department of State,Australian Capital Territory,1971-03-12,,1987-07-24,1996-03-11
CA 1968,"Department of Immigration and Ethnic Affairs [I], Regional Administration, New South Wales",Regional or State Office,New South Wales,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2048,"Department of Immigration and Ethnic Affairs [I], Regional Administration, Tasmania",Regional or State Office,Tasmania,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2050,"Department of Immigration and Ethnic Affairs [I], Regional Office, Victoria",Regional or State Office,Victoria,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2111,"Department of Immigration and Ethnic Affairs [I], Northern Territory Branch",Regional or State Office,Northern Territory,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2147,"Department of Immigration and Ethnic Affairs [I], Regional Office, Queensland",Regional or State Office,Queensland,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2327,"Department of Immigration and Ethnic Affairs [I], Regional Administration, South Australia",Regional or State Office,South Australia,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2565,"Department of Immigration and Ethnic Affairs [I], Regional Office, Wollongong [New South Wales]",Regional or State Office,New South Wales,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2980,Good Neighbour Council of the Australian Capital Territory/ (from 1966) Good Neighbour Council of the Australian Capital Territory Incorporated,Regional or State Office,Australian Capital Territory,1950-03-22,1980-02-29,1950-03-22,1980-02-29
CA 3027,"Department of Immigration and Ethnic Affairs [I], Regional Administration, Australian Capital Territory",Regional or State Office,Australian Capital Territory,1980-04-21,1987-07-24,1980-04-21,1987-07-24
CA 3028,Australian Institute of Multicultural Affairs,Head Office,Victoria,1979-11-28,1986-12-18,1979-11-28,1986-12-18
CA 3072,Australian Ethnic Affairs Council,Head Office,Australian Capital Territory,1977-01-31,,1977-01-31,1981-05-13
CA 3491,Good Neighbour Council of Victoria,Regional or State Office,Victoria,,1979-06-30,1950-04-05,1979-06-30
CA 3492,"Migrant Resource Centre, Melbourne",Local Office,Victoria,1979-07-04,,1979-07-04,
CA 3561,"Australia-Japan Foundation, Australian Office",Regional or State Office,Australian Capital Territory,1976-05-10,,1976-05-10,
CA 4678,"Department of Immigration and Ethnic Affairs [I], Area Office, Rockhampton [Queensland]",Local Office,Queensland,1981-11-16,1986-09-30,1981-11-16,1986-09-30
CA 5043,"Department of Immigration and Ethnic Affairs [I], Area Office, Thursday Island [Queensland]",Local Office,Queensland,1982-09-01,1993-03-24,1982-09-01,1993-03-24
CA 5479,Interim Council of the Institute of Multicultural Affairs,Head Office,Victoria,1979-03-01,1979-11-28,1979-03-01,1979-11-30
CA 5860,"Department of Immigration, Local Government and Ethnic Affairs, Regional Administration, Queensland",Regional or State Office,Queensland,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 5988,"Department of Immigration, Local Government and Ethnic Affairs, Central Office",Department of State,Australian Capital Territory,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6076,"Department of Immigration, Local Government and Ethnic Affairs, Regional Office, Victoria",Regional or State Office,Victoria,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6346,"Department of Immigration, Local Government and Ethnic Affairs, Regional Office, New South Wales",Regional or State Office,New South Wales,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6589,"Department of Immigration, Local Government and Ethnic Affairs, Regional Administration, South Australia",Regional or State Office,South Australia,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6665,"Department of Immigration, Local Government and Ethnic Affairs, Regional Office, Western Australia",Regional or State Office,Western Australia,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6735,"Department of Immigration, Local Government and Ethnic Affairs, Regional Office, Northern Territory",Regional or State Office,Northern Territory,1987-07-24,1993-03-24,1987-07-24,1993-03-24
